NCOLS 3
NROWS 82970
XLLCENTER 726700
YLLCENTER 4820125
CELLSIZE 25
248.4008 24.03927 -275.0
248.4065 24.0341 -280.0
248.42073 24.02118 -254.0
248.43212 24.01085 -222.0
248.43496 24.00827 -226.0
248.44635 23.99793 -202.0
248.4492 23.99535 -264.0
248.45204 23.99277 -249.0
248.45489 23.99018 -226.0
248.45774 23.9876 -226.0
248.46058 23.98502 -264.0
248.46343 23.98243 -217.0
248.46628 23.97985 -245.0
248.46912 23.97727 -267.0
248.47197 23.97468 -241.0
248.47767 23.96952 -230.0
248.4919 23.9566 -217.0
248.50705 23.94585 -198.0
248.51008 23.9437 -189.0
248.52219 23.9351 -179.0
248.52826 23.9308 -170.0
248.53431 23.9265 -141.0
248.53734 23.92435 -120.0
248.55249 23.91361 -137.0
248.55552 23.91146 -207.0
248.55855 23.90931 -303.0
248.56461 23.90501 -394.0
248.56764 23.90286 -418.0
248.58279 23.89211 -422.0
248.59491 23.88351 -439.0
248.59794 23.88136 -466.0
248.60097 23.87921 -541.0
248.61309 23.87061 -543.0
248.61915 23.86631 -570.0
248.62824 23.85986 -553.0
248.64338 23.84911 -564.0
248.65853 23.83837 -570.0
248.67368 23.82762 -587.0
248.68883 23.81687 -594.0
248.70398 23.80612 -607.0
248.73125 23.78677 -617.0
248.73428 23.78462 -626.0
248.74943 23.77387 -639.0
248.76457 23.76313 -645.0
248.77972 23.75238 -657.0
248.79487 23.74163 -666.0
248.81002 23.73088 -663.0
248.82517 23.72013 -666.0
248.83426 23.71368 -665.0
248.83729 23.71153 -636.0
248.84032 23.70938 -626.0
248.84941 23.70293 -606.0
248.85244 23.70078 -607.0
248.85547 23.69863 -579.0
248.86456 23.69218 -509.0
248.87062 23.68789 -479.0
248.88576 23.67714 -413.0
248.90091 23.66639 -379.0
248.91606 23.65564 -364.0
248.93121 23.64489 -358.0
248.94636 23.63414 -354.0
248.95848 23.62554 -314.0
248.96151 23.62339 -310.0
248.97666 23.61265 -292.0
248.98878 23.60405 -294.0
248.99181 23.6019 -307.0
248.99483 23.59975 -335.0
249.00695 23.59115 -346.0
249.0221 23.5804 -354.0
249.03753 23.56957 -356.0
249.05295 23.55875 -366.0
249.06837 23.54792 -366.0
249.08379 23.5371 -354.0
249.09922 23.52627 -331.0
249.11464 23.51545 -282.0
249.11772 23.51328 -264.0
249.13006 23.50462 -234.0
249.14548 23.49379 -207.0
249.15782 23.48513 -209.0
249.16091 23.48297 -235.0
249.17633 23.47214 -290.0
249.19175 23.46132 -301.0
249.20718 23.45049 -310.0
249.42309 23.29893 -598.0
249.43852 23.2881 -674.0
249.44777 23.28161 -747.0
249.45394 23.27728 -812.0
249.46936 23.26645 -812.0
249.48478 23.25563 -802.0
249.50021 23.2448 -829.0
249.51563 23.23398 -863.0
249.53105 23.22315 -883.0
249.54647 23.21232 -898.0
249.5619 23.2015 -913.0
249.56783 23.19669 -932.0
249.5708 23.19429 -987.0
249.57376 23.19189 -932.0
249.57673 23.18949 -924.0
249.58563 23.18228 -959.0
249.5886 23.17988 -839.0
249.59157 23.17747 -867.0
